project_id,waterbody,sample_date,site_id,collection_method,nominal_depth,depth_units,nominal_lat,nominal_lon,bed_type,sample_n,field_org,central_depth_mhw,central_depth_raw,stratum,bed_perimeter,bed_perimeter_unit,wgt,distance to nearest inlet,inlet status (open/closed),site protection status (P/U),natural vs restored,species
RESCQ,Newport back bay,11/3/23,RESCQ-Site-012,cross-3parallel,,m,33.62179329,-117.8934771,,3,CSULB,,,small_embayment,,,372.8,,,,,
RESCQ,Port of Los Angeles ,11/12/24,RESCQ-Site-013,cross-parallel,2.5488,m,33.709,-118.2782,bed,7,Merkel,2.549,1.829,small_embayment,140,m,372.8,,,,,
RESCQ,Port of Los Angeles ,11/11/24,RESCQ-Site-014,patch,2.6436,m,33.7582,-118.1515,patch,2,Merkel,2.644,2.134,small_embayment,3,m,372.8,,,,,
RESCQ,Newport back bay,11/3/23,RESCQ-Site-016,cross-3parallel,,m,33.6210584,-117.8973517,,3,CSULB,,,small_embayment,,,372.8,,,,,
RESCQ,Port of Los Angeles ,11/12/24,RESCQ-Site-017,cross-parallel,2.334,m,33.7097,-118.2801,meadow,7,Merkel,2.334,1.524,small_embayment,124,m,372.8,,,,,
RESCQ,Dana Point Harbor,11/18/24,RESCQ-Site-020,patch,7.3948,m,33.4568,-117.6973,patch,2,Merkel,7.395,7.925,small_embayment,9,m,372.8,,,,,
RESCQ,Mission Bay (Mariner's Cove),11/18/24,RESCQ-Site-021,cross-parallel,2.528,m,32.7629,-117.2489,bed,7,Merkel,2.528,3.048,large_embayment,140,m,4194.4,,,,,
RESCQ,San Diego Bay,11/25/24,RESCQ-Site-022,cross-parallel,1.754,m,32.6599,-117.1506,meadow,7,Merkel,1.754,1.524,large_embayment,140,m,4194.4,,,,,
RESCQ,San Diego Bay,11/14/24,RESCQ-Site-023,cross-parallel,2.728,m,32.6798,-117.2228,meadow,7,Merkel,2.728,3.048,large_embayment,140,m,4194.4,,,,,
RESCQ,Mission Bay,11/18/24,RESCQ-Site-024,cross-parallel,2.918,m,32.7911,-117.2233,NA,7,Merkel,2.918,3.048,large_embayment,140,m,4194.4,,,,,
